Occupation,Age,Gender,State,image_900,image_1217,image_1313,image_1327,image_1331,image_1551,image_1196
Student,19,Male,Haryana,Like,Like,Like,Like,Like,Like,Like
Student,19,Male,Telangana,Dislike,Like,Like,Like,Dislike,Like,Like
Student ,22,Female,Himachal pradesh ,Like,Like,Like,Like,Like,Like,Like
Student,18,Female,Punjab,Dislike,Dislike,Like,Like,Dislike,Like,Like
Student,20,Male,Uttar Pradesh,Dislike,Dislike,Like,Dislike,Like,Like,Dislike
Student,19,Female,Punjab,Like,Dislike,Like,Like,Like,Like,Like
Student,19,Female,Punjab,Like,Like,Like,Dislike,Like,Dislike,Like
Student,16,Male,Punjab,Like,Like,Like,Like,Like,Like,Like
Student,15,Male,Punjab,Like,Like,Like,Like,Like,Like,Dislike
Student ,19,Female,Punjab,Dislike,Like,Like,Dislike,Like,Like,Like
Business man,45,Male,Punjab,Dislike,Dislike,Like,Like,Like,Like,Dislike
Student,21,Male,Uttar Pradesh,Like,Like,Like,Like,Like,Like,Like
Student,19,Female,Punjab,Like,Like,Like,Like,Like,Like,Dislike
homemaker,33,Female,,Dislike,Dislike,Like,Like,Like,Like,Dislike
Student,19,Male,Haryana,Like,Dislike,Like,Like,Like,Like,Like
