Timestamp,Occupation,Age,Gender,State,image_6846,image_5396,image_4635,image_6348,image_6163,image_1494,image_1391
2021/03/23 12:00:02 AM GMT+5:30,Student,19,Female,Punjab,Dislike,Dislike,Like,Like,Dislike,Like,Like
2021/04/25 11:58:54 AM GMT+5:30,Musician ,25,Female,Punjab,Dislike,Dislike,Dislike,Dislike,Like,Like,Like
2021/04/25 6:42:07 PM GMT+5:30,Student,16,Male,Chandigarh ,Like,Like,Like,Like,Like,Like,Like
2021/04/25 6:47:02 PM GMT+5:30,Studying,17,Female,Haryana,Like,Like,Like,Like,Like,Like,Like
2021/04/25 6:47:14 PM GMT+5:30,,,Female,,Like,Like,Like,Like,Like,Like,Like
2021/04/25 6:47:50 PM GMT+5:30,student ,18,Female,panchkula ,Like,Like,Like,Like,Like,Like,Like
2021/04/25 6:49:14 PM GMT+5:30,No,17,Male,Chandigarh,Like,Like,Dislike,Like,Like,Like,Like
2021/04/25 6:50:53 PM GMT+5:30,Student,17,Female,Manimajra Chandigarh,Like,Dislike,Like,Like,Like,Like,Like
2021/04/25 6:51:29 PM GMT+5:30,Service,55,Male,Punjab,Like,Like,Like,Like,Like,Like,Like
2021/04/25 6:53:06 PM GMT+5:30,,,,,Like,Like,Like,Like,Like,Like,Like
2021/04/25 6:54:49 PM GMT+5:30,,,Male,,Like,Like,Like,Like,Like,Like,Like
2021/04/25 7:00:17 PM GMT+5:30,Student,17,Female,Haryana,Like,Dislike,Like,Like,Like,Dislike,Dislike
2021/04/25 7:01:24 PM GMT+5:30,Schoolgirl,17,Female,Bengal,Dislike,Dislike,Like,Like,Like,Like,Dislike
2021/04/25 7:03:49 PM GMT+5:30,,16,Female,Haryana,Like,Dislike,Like,Dislike,Like,Like,Like
2021/04/25 7:05:54 PM GMT+5:30,,17,Male,,Like,Like,Like,Dislike,Like,Like,Like
2021/04/25 7:11:10 PM GMT+5:30,Student,17,Male,,Like,Dislike,Dislike,Like,Dislike,Dislike,Like
2021/04/25 7:24:30 PM GMT+5:30,Student,22,Female,Chandigarh,Like,Dislike,Like,Like,Like,Like,Like
2021/04/25 7:25:17 PM GMT+5:30,Student,17,Female,Punjab,Like,Like,Like,Like,Like,Dislike,Like
