"Timestamp","Occupation","Age","Gender","State","image_5208","image_66","image_92","image_311","image_713","image_743","image_982"
"2021/03/22 1:52:22 PM GMT+5:30","Student","16","Female","Chandigarh UT","Like","Like","Like","Dislike","Like","Dislike","Dislike"
"2021/03/22 2:06:02 PM GMT+5:30","student","15","Female","punjab","Like","Like","Like","Dislike","Like","Dislike","Like"
"2021/03/22 2:07:21 PM GMT+5:30","Student ","16","Female","Punjab","Dislike","Like","Like","Like","Like","Like","Dislike"
"2021/03/22 2:20:25 PM GMT+5:30","Student","17","Female","Punjab","Like","Like","Like","Like","Like","Dislike","Dislike"
"2021/03/22 2:20:52 PM GMT+5:30","student","15","Female","CHANDIGARH (UT)","Like","Like","Like","Like","Like","Like","Like"
"2021/03/22 3:09:41 PM GMT+5:30","Student ","17","Female","Punjab","Dislike","Dislike","","Like","Like","Like",""
"2021/03/22 5:14:11 PM GMT+5:30","Student ","16","Female","Punjab ","Like","Like","Dislike","Like","Like","Dislike","Dislike"
"2021/03/22 6:58:36 PM GMT+5:30","Professional ","44","Female","Maharashtra ","Like","Like","Dislike","Like","Like","Dislike","Like"
"2021/03/22 7:11:54 PM GMT+5:30","Teacher","47","","Chandigarh","Like","Like","Like","Like","Like","Like","Dislike"
"2021/03/22 7:38:16 PM GMT+5:30","Service","76","Male","Ut Chandigarh ","Like","Like","Like","Dislike","Dislike","Like","Like"
"2021/03/22 8:31:25 PM GMT+5:30","Business man and student","19","Male","Uttar Pradesh ","Like","Dislike","Dislike","Like","Like","Dislike","Dislike"
"2021/03/22 8:36:21 PM GMT+5:30","Chef","34","Male","Uttarakhand ","Dislike","Dislike","Dislike","Like","Like","Dislike","Dislike"
"2021/03/22 10:54:19 PM GMT+5:30","School","15","Female","","","Like","","Like","Like","",""
"2021/03/22 11:58:34 PM GMT+5:30","homosapien","Older than the universe","Male","Worse after last memes","Like","Dislike","Like","Like","Like","Dislike","Dislike"
"2021/03/23 12:01:01 AM GMT+5:30","Student","19","Female","Punjab","Dislike","Dislike","Dislike","Like","Like","Like","Dislike"
"2021/03/23 2:57:29 PM GMT+5:30","Govt","43","Male","Delhi","Dislike","Like","Like","Dislike","Like","Dislike","Dislike"
"2021/03/23 2:58:42 PM GMT+5:30","Student","23","Female","Punjab","Like","Like","Dislike","Like","Like","Dislike","Like"
"2021/03/23 3:28:37 PM GMT+5:30","Student ","16","Female","Mohali(punjab)","Like","Dislike","Dislike","Like","Like","Like","Like"
"2021/03/23 5:56:23 PM GMT+5:30","Academic","35","Male","Punjab","Like","Like","Like","Like","Dislike","Dislike","Like"
"2021/03/23 11:20:08 PM GMT+5:30","Student","20","Male","Punjab","Dislike","Dislike","Dislike","Like","Like","Dislike","Dislike"
"2021/03/24 6:27:44 PM GMT+5:30","Manager","29","Male","Ontario","Like","Like","Like","Like","Like","Like","Like"
