"Timestamp","Occupation","Age","Gender","State","image_5864","image_6521","image_5708","image_6111","image_113","image_2936","image_6","image_2960","image_5120","image_5319","image_4313","image_4331","image_4347","image_1449","image_6387","image_3810","image_5410","image_5947","image_1518","image_4527"
"2021/04/19 2:52:43 PM GMT+5:30","Professional","44","Female","Maharashtra ","Dislike","Like","Dislike","Like","Like","Like","Like","Like","Dislike","Like","","Like","Dislike","Like","Dislike","Like","Like","Dislike","Like","Like"
"2021/04/19 7:45:34 PM GMT+5:30","","","Female","","Dislike","Dislike","Dislike","Dislike","Like","Dislike","Dislike","","","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Like"
"2021/04/19 8:01:13 PM GMT+5:30","Student","15-18","Female","Assam","Dislike","Like","Like","Like","Like","Dislike","Like","Like","","Dislike","Like","Dislike","Like","Like","","","Like","Like","Dislike","Like"
"2021/04/19 8:06:16 PM GMT+5:30","Student ","20","Female","Haryana","Dislike","Like","Like","Like","Dislike","Like","Like","Like","Like","Like","Like","Like","Like","Like","Dislike","Dislike","Like","Dislike","Dislike","Like"
"2021/04/19 8:19:31 PM GMT+5:30","Student","17","Male","Maharashtra","Like","Like","Dislike","Like","Like","Like","Like","Like","Dislike","Like","Like","Dislike","Like","Like","Like","Dislike","Like","Like","Like","Like"
"2021/04/19 9:13:26 PM GMT+5:30","Student","17","Female","Haryana ","Dislike","Dislike","Dislike","Like","Dislike","Like","Like","Like","Dislike","Dislike","Dislike","Like","Like","Like","Dislike","Dislike","Like","Dislike","Like","Like"
"2021/04/19 10:42:02 PM GMT+5:30","","","Male","","Dislike","Dislike","Dislike","Dislike","","","","","","","","","","","","","","","",""
"2021/04/20 3:48:45 PM GMT+5:30","Engineer","34","Male","Telangana","Like","Like","Dislike","Like","Dislike","Dislike","Dislike","Like","Like","Dislike","Like","Like","Like","Like","Like","Like","Like","Like","Dislike","Like"
"2021/04/20 3:58:41 PM GMT+5:30","Design engineer","28","Female","Telangana","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike","Dislike"
"2021/04/25 11:38:58 AM GMT+5:30","IT PROFESIONAL ","38","Male","Haryana","Dislike","Dislike","Dislike","Like","Like","Dislike","Like","Dislike","Like","Like","Dislike","Dislike","Dislike","Dislike","Dislike","Like","Like","Dislike","Like","Like"
